restaurant,popular_item,bestseller
Sonic,Cherry Slush,1
Panda Express,Orange Chicken,1
Panda Express,Grilled Teriyaki Chicken,1
Panda Express,Chow Mein,1
Panda Express,Kung Pao Chicken,1
Panda Express,Broccoli Beef,1
Panda Express,Teriyaki Chicken,1
Panda Express,Fried Rice,1
Panda Express,String Bean Chicken Breast,1
Panda Express,Mushroom Chicken,1
Panda Express,Firecracker Shrimp,1
Panda Express,Veggie Spring Roll,1
Panda Express,Super Greens Side,1
Panda Express,Steamed White Rice,1
Panda Express,Honey Sesame Chicken Breast,1
Panda Express,Teriyaki Sauce,1
Popeyes,Chicken Sandwich,1
Popeyes,Chicken Blackened Tenders (3 Pcs),1
Popeyes,Sweet 'n Spicy Wings,1
Popeyes,Ghost Pepper Wings,1
Popeyes,Cajun Fries,1
Popeyes,Spicy Chicken Sandwich,1
Popeyes,Homestyle Mac & Cheese,1
Popeyes,Strawberry Cheesecake Cup,1
Popeyes,Chicken Nuggets,1
Popeyes,Blackened Chicken Sandwich,1
Popeyes,Bonafide Mild Chicken Breast,1
Popeyes,Mashed Potatoes,1
Popeyes,Biscuit,1
Popeyes,Chicken Mild Tenders (3pcs),1
Popeyes,Red Beans & Rice,1
Whataburger,French Fries,1
Whataburger,Whataburger,1
Whataburger,Avocado Bacon Burger,1
Whataburger,Grilled Chicken Sandwich,1
Whataburger,Double Meat Whataburger,1
Whataburger,Whatachick'n Strips,1
Whataburger,Whataburger Jr.,1
Whataburger,Sweet & Spicy Bacon Burger,1
Whataburger,Apple & Cranberry Chicken Salad,1
Whataburger,Onion Rings,1
Whataburger,Vanilla Shake,1
Whataburger,Bacon & Cheese Whataburger,1
Whataburger,Breakfast Burger,1
Whataburger,Sweet Tea,1
Whataburger,Triple Meat Whataburger,1
Panera,Broccoli Cheddar Soup,1
Panera,Green Goddess Caprese Melt,1
Panera,French Baguette,1
Panera,Fuji Apple Chicken Salad,1
Panera,Frontega Chicken Panini,1
Panera,Chipotle Chicken Avocado Melt,1
Panera,Chicken Noodle Soup,1
Panera,"Avocado, Egg White & Spinach Breakfast Power Sandwich",1
Panera,Greek Salad,1
Panera,Green Goddess Cobb Salad with Chicken,1
Panera,Mexican Street Corn Chowder,1
Panera,Creamy Tomato Soup,1
Panera,Chicken Caesar Salad,1
Panera,Caesar Salad,1
Panera,Tuna Salad Sandwich,1
Culvers,Chicken Tenders,1
Culvers,ButterBurger Cheese,1
Culvers,Vanilla Frozen Custard,1
Culvers,Crinkle Cut Fries,1
Culvers,Grilled Chicken Sandwich,1
Culvers,Deluxe,1
Culvers,Strawberry Fields Salad,1
Culvers,North Atlantic Cod Dinner,1
Culvers,Original ButterBurger,1
Culvers,Wisconsin Cheese Curds,1
Culvers,North Atlantic Cod Filet Sandwich,1
Culvers,Vanilla Custard Dish,1
Culvers,Bacon Deluxe,1
Culvers,Garden Fresco Salad with Grilled Chicken,1
Culvers,Chocolate Custard Dish,1
Wawa,Cheese Pizza,1
Wawa,Creamy Chipotle Sauce,1
Wawa,Strawberry Smoothie,1
Wawa,Chicken Salad,1
Wawa,Mashed Potatoes,1
Wawa,Vanilla Milkshake,1
Wawa,Macaroni and Cheese,1
Wawa,Soft Pretzel,1
Wawa,Meatballs in Marinara Sauce,1
Wawa,Chicken Noodle Soup,1
Wawa,Chicken Tenders,1
Wawa,Wheat Classic Roll,1
Wawa,Scrambled Eggs,1
Wawa,Honey Hot Sauce,1
Wawa,Garlic Aioli Sauce,1
Costco Food Court,Cheese Pizza,1
Costco Food Court,Chicken Bake,1
Costco Food Court,Pepperoni Pizza,1
Costco Food Court,Hot Dog & Soda,1
Costco Food Court,Fruit Smoothie,1
Costco Food Court,Rotisserie Chicken,1
Costco Food Court,Berry Sundae,1
Costco Food Court,Latte Freeze,1
Costco Food Court,Mocha Freeze,1
Costco Food Court,Polish Sausage,1
Costco Food Court,Carne Pizza,1
Costco Food Court,Chicken Caesar Salad with Dressing & Croutons,1
Costco Food Court,Yogurt,1
Costco Food Court,Bratwurst,1
Costco Food Court,Churro,1
Little Caesars,Hot-N-Ready Cheese Pizza,1
Little Caesars,Hot-N-Ready Pepperoni Pizza,1
Little Caesars,Crazy Bread,1
Little Caesars,ExtraMostBestest Pizza,1
Little Caesars,Cookie Dough Brownie with Twix,1
Little Caesars,Pepperoni Cheeser!Cheeser! Pizza,1
Little Caesars,Ultimate Supreme Pizza,1
Little Caesars,Hula Hawaiian Pizza,1
Little Caesars,3 Meat Treat Pizza,1
Little Caesars,Pepperoni Detroit Style Deep Dish Pizza,1
Little Caesars,Veggie Pizza,1
Little Caesars,Italian Cheese Bread,1
Little Caesars,Extramostbestest Thin Crust Pizza,1
Little Caesars,Cookie Dough Brownie with M&M’s,1
Little Caesars,Italian Sausage Pizza,1
Texas Roadhouse,Sirloin Steak,1
Texas Roadhouse,Fresh Baked Bread,1
Texas Roadhouse,New York Strip Steak,1
Texas Roadhouse,Ribs,1
Texas Roadhouse,Chicken Critter Salad,1
Texas Roadhouse,Baked Potato,1
Texas Roadhouse,House Side Salad,1
Texas Roadhouse,Texas Red Chili,1
Texas Roadhouse,Grilled Chicken Salad,1
Texas Roadhouse,Herb Crusted Chicken,1
Texas Roadhouse,Sweet Potato,1
Texas Roadhouse,Grilled Salmon,1
Texas Roadhouse,All-American Cheeseburger,1
Texas Roadhouse,Strawberry Cheesecake,1
Texas Roadhouse,Green Beans,1
Five Guys,Cheeseburger,1
Five Guys,Five Guys Style Fries,1
Five Guys,Bacon Cheeseburger,1
Five Guys,Hamburger,1
Five Guys,Little Hamburger,1
Five Guys,Little Cheeseburger,1
Five Guys,Little Bacon Cheeseburger,1
Five Guys,Hot Dog,1
Five Guys,Bunless Cheeseburger,1
Five Guys,Cajun Style Fries,1
Five Guys,Bunless Bacon Cheeseburger,1
Five Guys,Grilled Cheese,1
Five Guys,Bunless Hamburger,1
Five Guys,Veggie Sandwich,1
Five Guys,Bacon Burger,1
