item,restaurant,price_usd
Cinnamon Roll ,burger_king,1.59
Cinnamon Rolls,burger_king,2.89
French Toast Sticks,burger_king,1.00
French Toast Sticks,burger_king,1.99
"Hand-Spun Shakes (Vanilla, Strawberry, or Chocolate)",burger_king,2.49
"Hand-Spun Shakes (Vanilla, Strawberry, or Chocolate)",burger_king,3.09
"Hand-Spun Shakes (Vanilla, Strawberry, or Chocolate)",burger_king,3.59
Smooth Roast Coffee,burger_king,1.00
Smooth Roast Coffee,burger_king,1.59
Smooth Roast Coffee,burger_king,1.79
Smooth Roast Iced Coffee (Plain or Vanilla),burger_king,1.89
Smooth Roast Iced Coffee (Plain or Vanilla),burger_king,2.39
Smooth Roast Iced Coffee (Plain or Vanilla),burger_king,2.89
Iced Tea (Sweet or Unsweetened),burger_king,1.79
Iced Tea (Sweet or Unsweetened),burger_king,2.09
Iced Tea (Sweet or Unsweetened),burger_king,2.39
Fountain Drink,burger_king,1.79
Fountain Drink,burger_king,2.09
Fountain Drink,burger_king,2.39
Orange Juice,burger_king,1.69
Apple Juice,burger_king,1.29
Bottled Water,burger_king,1.09
Icee,burger_king,1.19
Icee,burger_king,1.59
Icee,burger_king,2.09
Frappes (Mocha or Caramel),burger_king,2.59
Frappes (Mocha or Caramel),burger_king,3.09
Frappes (Mocha or Caramel),burger_king,3.59
Smoothies (Strawberry Banana or Tropical Mango),burger_king,2.49
Smoothies (Strawberry Banana or Tropical Mango),burger_king,2.99
Smoothies (Strawberry Banana or Tropical Mango),burger_king,3.49
Hamburger – Meal,burger_king,3.99
Cheeseburger – Meal,burger_king,3.99
Double Cheeseburger – Meal,burger_king,4.99
Chicken Nuggets – Meal,burger_king,3.99
Chicken Nuggets – Meal,burger_king,4.99
Chick-fil-A Chicken Sandwich,chick-fil-a,3.05
Chick-fil-A Chicken Sandwich – Combo,chick-fil-a,5.95
Chick-fil-A Chicken Deluxe Sandwich,chick-fil-a,3.65
Chick-fil-A Chicken Deluxe Sandwich – Combo,chick-fil-a,6.55
Spicy Chicken Sandwich,chick-fil-a,3.29
Spicy Chicken Sandwich – Combo,chick-fil-a,6.19
Spicy Chicken Deluxe Sandwich,chick-fil-a,3.89
Spicy Chicken Deluxe Sandwich – Combo,chick-fil-a,6.79
Chick-fil-A Nuggets,chick-fil-a,3.05
Chick-fil-A Nuggets,chick-fil-a,4.45
Chick-fil-A Nuggets – Combo,chick-fil-a,5.95
Chick-fil-A Nuggets – Combo,chick-fil-a,8.59
Chick-fil-A Nuggets (Grilled),chick-fil-a,3.85
Chick-fil-A Nuggets (Grilled),chick-fil-a,5.75
Chick-fil-A Nuggets (Grilled) – Combo,chick-fil-a,6.75
Chick-fil-A Nuggets (Grilled) – Combo,chick-fil-a,8.59
Chick-n-Strips,chick-fil-a,3.35
Chick-n-Strips,chick-fil-a,4.39
Chick-n-Strips – Combo,chick-fil-a,6.25
Chick-n-Strips – Combo,chick-fil-a,7.25
Grilled Chicken Sandwich,chick-fil-a,4.39
Grilled Chicken Sandwich – Combo,chick-fil-a,7.19
Grilled Chicken Club Sandwich,chick-fil-a,5.59
Grilled Chicken Club Sandwich – Combo,chick-fil-a,8.39
Chicken Salad Sandwich,chick-fil-a,3.99
Chicken Salad Sandwich – Combo,chick-fil-a,6.79
Grilled Chicken Cool Wrap,chick-fil-a,5.19
Grilled Chicken Cool Wrap – Combo,chick-fil-a,8.15
Soup & Salad (Large Chicken Soup and Side Salad),chick-fil-a,8.35
Chilled Grilled Chicken Sub Sandwich (Limited Time),chick-fil-a,4.79
Substitute Medium Premium Side,chick-fil-a,1.00
Upsize Fries & Drink,chick-fil-a,0.46
Waffle Potato Fries,chick-fil-a,1.55
Waffle Potato Fries,chick-fil-a,1.65
Waffle Potato Fries,chick-fil-a,1.85
Baked Potato with Butter,chick-fil-a,1.65
Yogurt Parfait ,chick-fil-a,2.45
Fruit Cup,chick-fil-a,2.05
Fruit Cup,chick-fil-a,2.75
Fruit Cup,chick-fil-a,4.25
Side Salad,chick-fil-a,2.89
Chicken Soup,chick-fil-a,2.65
Chicken Soup,chick-fil-a,4.35
Chicken Tortilla Soup (Limited Time),chick-fil-a,3.75
Chicken Tortilla Soup (Limited Time),chick-fil-a,6.05
Superfood Salad (Limited Time),chick-fil-a,2.89
Superfood Salad (Limited Time),chick-fil-a,3.89
Chicken Salad Cup,chick-fil-a,3.19
Chicken Salad Cup,chick-fil-a,5.15
Loaded Baked Potato (Limited Time),chick-fil-a,2.65
Nuggets,chick-fil-a,3.35
Nuggets,chick-fil-a,4.05
Grilled Nuggets,chick-fil-a,3.75
Grilled Nuggets,chick-fil-a,4.65
Chick-n-Strips,chick-fil-a,3.05
Chick-n-Strips,chick-fil-a,4.09
Asian Salad,chick-fil-a,7.19
Cobb Salad,chick-fil-a,7.19
Grilled Market Salad,chick-fil-a,7.19
Grilled Market Salad w/ No Chicken,chick-fil-a,6.19
Grilled Market Salad w/ Chick-fil-A Filet,chick-fil-a,8.19
Grilled Market Salad w/ Chick-n-Strips,chick-fil-a,8.19
Grilled Market Salad w/ Grilled Filet (Cold),chick-fil-a,8.19
Grilled Market Salad w/ Grilled Filet (Warm),chick-fil-a,8.19
Grilled Market Salad w/ Grilled Nuggets,chick-fil-a,8.19
Grilled Market Salad w/ Nuggets,chick-fil-a,8.19
Grilled Market Salad w/ Spicy Filet,chick-fil-a,8.19
Grilled Market Salad w/ Spicy Grilled Filet (Cold),chick-fil-a,8.19
"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla)",chick-fil-a,2.75
"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla)",chick-fil-a,3.15
Frosted Lemonade (Limited Time),chick-fil-a,2.75
Icedream Cone,chick-fil-a,1.25
Icedream Cone,chick-fil-a,1.65
Icedream Cup,chick-fil-a,1.59
Icedream Cup,chick-fil-a,1.85
Icedream Topping,chick-fil-a,0.25
Chocolate Chunk Cookie,chick-fil-a,1.19
Chocolate Chunk Cookie,chick-fil-a,6.65
Chick-fil-A Chicken Biscuit,chick-fil-a,2.19
Chick-fil-A Chicken Biscuit – Combo,chick-fil-a,4.49
Chick-n-Minis,chick-fil-a,2.29
Chick-n-Minis,chick-fil-a,2.99
Chick-n-Minis – Combo,chick-fil-a,4.65
Chick-n-Minis – Combo,chick-fil-a,5.29
Buttered Biscuit,chick-fil-a,0.89
"Bacon, Egg & Cheese Biscuit",chick-fil-a,2.59
"Bacon, Egg & Cheese Biscuit – Combo",chick-fil-a,4.95
Spicy Chicken Biscuit,chick-fil-a,2.35
Spicy Chicken Biscuit – Combo,chick-fil-a,4.65
Breakfast Burrito (Chicken or Sausage),chick-fil-a,2.55
Breakfast Burrito (Chicken or Sausage) – Combo,chick-fil-a,4.85
"Sausage, Egg & Cheese Biscuit",chick-fil-a,2.59
"Sausage, Egg & Cheese Biscuit – Combo",chick-fil-a,4.95
"Chicken, Egg & Cheese Bagel",chick-fil-a,3.39
"Chicken, Egg & Cheese Bagel – Combo",chick-fil-a,5.65
Oatmeal,chick-fil-a,2.69
Oatmeal & Fruit – Combo,chick-fil-a,6.69
Fruit Cup,chick-fil-a,2.05
Fruit Cup,chick-fil-a,2.75
Fruit Cup,chick-fil-a,4.25
Plain Bagel,chick-fil-a,1.29
Bagel with Cream Cheese,chick-fil-a,1.79
Hash Browns,chick-fil-a,0.99
Yogurt Parfait,chick-fil-a,2.45
Cinnamon Cluster,chick-fil-a,1.95
Fresh-Squeezed Lemonade (Regular or Diet),chick-fil-a,1.55
Fresh-Squeezed Lemonade (Regular or Diet),chick-fil-a,1.79
Fresh-Squeezed Lemonade (Regular or Diet),chick-fil-a,2.09
Iced Tea (Sweet or Unsweetened),chick-fil-a,1.35
Iced Tea (Sweet or Unsweetened),chick-fil-a,1.59
Iced Tea (Sweet or Unsweetened),chick-fil-a,1.85
Soft Drinks,chick-fil-a,1.35
Soft Drinks,chick-fil-a,1.59
