item,restaurant,price_usd
Honolulu Hawaiian (Brooklyn Style),dominos_pizza,17.99
Honolulu Hawaiian (Gluten Free Crust),dominos_pizza,14.99
Philly Cheese Steak (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Philly Cheese Steak (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Philly Cheese Steak (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Philly Cheese Steak (Brooklyn Style),dominos_pizza,17.99
Philly Cheese Steak (Gluten Free Crust),dominos_pizza,14.99
Pacific Veggie (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Pacific Veggie (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Pacific Veggie (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Pacific Veggie (Brooklyn Style),dominos_pizza,17.99
Pacific Veggie (Gluten Free Crust),dominos_pizza,14.99
Cali Chicken Bacon Ranch (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Cali Chicken Bacon Ranch (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Cali Chicken Bacon Ranch (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Cali Chicken Bacon Ranch (Brooklyn Style),dominos_pizza,17.99
Cali Chicken Bacon Ranch (Gluten Free Crust),dominos_pizza,14.99
Fiery Hawaiian  (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Fiery Hawaiian  (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Fiery Hawaiian  (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Fiery Hawaiian  (Brooklyn Style),dominos_pizza,17.99
Fiery Hawaiian  (Gluten Free Crust),dominos_pizza,14.99
Buffalo Chicken (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Buffalo Chicken (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Buffalo Chicken (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Buffalo Chicken (Brooklyn Style),dominos_pizza,17.99
Buffalo Chicken (Gluten Free Crust),dominos_pizza,14.99
Memphis BBQ Chicken (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Memphis BBQ Chicken (Hand Tossed, Hnadmade Pan or Thin Crust)",dominos_pizza,13.99
"Memphis BBQ Chicken (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Memphis BBQ Chicken (Brooklyn Style),dominos_pizza,17.99
Memphis BBQ Chicken (Gluten Free Crust),dominos_pizza,14.99
America’s Favorite Feast (Hand Tossed or Thin Crust),dominos_pizza,11.99
America’s Favorite Feast (Hand Tossed or Thin Crust),dominos_pizza,13.99
America’s Favorite Feast (Handmade Pan),dominos_pizza,15.49
"America’s Favorite Feast (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
America’s Favorite Feast (Brooklyn Style),dominos_pizza,17.99
America’s Favorite Feast (Gluten Free Crust),dominos_pizza,14.99
Bacon Cheeseburger Feast (Hand Tossed or Thin Crust),dominos_pizza,11.99
Bacon Cheeseburger Feast (Hand Tossed or Thin Crust),dominos_pizza,13.99
Bacon Cheeseburger Feast (Handmade Pan),dominos_pizza,15.49
"Bacon Cheeseburger Feast (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Bacon Cheeseburger Feast (Brooklyn Style),dominos_pizza,17.99
Bacon Cheeseburger Feast (Gluten Free Crust),dominos_pizza,14.99
Deluxe Feast (Hand Tossed or Thin Crust),dominos_pizza,11.99
Deluxe Feast (Hand Tossed or Thin Crust),dominos_pizza,13.99
Deluxe Feast (Handmade Pan),dominos_pizza,15.49
"Deluxe Feast (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Deluxe Feast (Brooklyn Style),dominos_pizza,17.99
Deluxe Feast (Gluten Free Crust),dominos_pizza,14.99
ExtravaganZZa Feast (Hand Tossed or Thin Crust),dominos_pizza,11.99
"ExtravaganZZa Feast (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"ExtravaganZZa Feast (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
ExtravaganZZa Feast (Brooklyn Style),dominos_pizza,17.99
ExtravaganZZa Feast (Gluten Free Crust),dominos_pizza,14.99
MeatZZa Feast (Hand Tossed or Thin Crust),dominos_pizza,11.99
"MeatZZa Feast (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"MeatZZa Feast (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
MeatZZa Feast (Brooklyn Style),dominos_pizza,17.99
MeatZZa Feast (Gluten Free Crust),dominos_pizza,14.99
Ultimate Pepperoni Feast (Hand Tossed or Thin Crust),dominos_pizza,11.99
"Ultimate Pepperoni Feast (Hand Tossed, Handmade Pan or Thin Crust)",dominos_pizza,13.99
"Ultimate Pepperoni Feast (Hand Tossed, Thin Crust or Brooklyn Style)",dominos_pizza,15.99
Ultimate Pepperoni Feast (Brooklyn Style),dominos_pizza,17.99
Ultimate Pepperoni Feast (Gluten Free Crust),dominos_pizza,14.99
Boneless Chicken,dominos_pizza,5.99
Boneless Chicken,dominos_pizza,9.99
Boneless Chicken,dominos_pizza,25.99
Wings,dominos_pizza,6.49
Wings,dominos_pizza,10.99
Wings,dominos_pizza,25.99
Specialty Chicken – Crispy Bacon & Tomato,dominos_pizza,5.99
Specialty Chicken – Classic Hot Buffalo,dominos_pizza,5.99
Specialty Chicken – Spicy Jalapeno – Pineapple,dominos_pizza,5.99
Specialty Chicken – Sweet BBQ Bacon,dominos_pizza,5.99
Italian Sausage & Peppers,dominos_pizza,5.99
Buffalo Chicken,dominos_pizza,5.99
Chicken Habanero,dominos_pizza,5.99
Mediterranean Veggie,dominos_pizza,5.99
Philly Cheese Steak,dominos_pizza,5.99
Chicken Bacon Ranch,dominos_pizza,5.99
Italian,dominos_pizza,5.99
Chicken Parm,dominos_pizza,5.99
Chicken Alfredo (Dish),dominos_pizza,5.99
Chicken Alfredo (Bread Bowl),dominos_pizza,6.99
Italian Sausage Marinara (Dish),dominos_pizza,5.99
Italian Sausage Marinara (Bread Bowl),dominos_pizza,6.99
Chicken Carbonara (Dish),dominos_pizza,6.99
Chicken Carbonara (Bread Bowl),dominos_pizza,7.99
Pasta Primavera (Dish),dominos_pizza,6.99
Pasta Primavera (Bread Bowl),dominos_pizza,7.99
Build Your Own Pasta (Dish),dominos_pizza,6.99
Build Your Own Pasta (Bread Bowl),dominos_pizza,7.99
Stuffed Cheesy Bread,dominos_pizza,5.99
Stuffed Cheesy Bread with Spinach & Feta,dominos_pizza,5.99
Stuffed Cheesy Bread with Bacon & Jalapeno,dominos_pizza,5.99
Parmesan Bread Bites,dominos_pizza,2.99
Parmesan Bread Bites,dominos_pizza,5.00
Breadsticks,dominos_pizza,4.99
Classic Garden Salad,dominos_pizza,6.49
Chicken Apple Pecan Salad,dominos_pizza,6.49
Chicken Caesar Salad,dominos_pizza,6.49
Lay’s Classic Potato Chips,dominos_pizza,0.75
Doritos Nacho Cheese Tortilla Chips,dominos_pizza,0.75
Coke,dominos_pizza,1.79
Coke,dominos_pizza,2.99
Coke Zero,dominos_pizza,1.79
Coke Zero,dominos_pizza,2.99
Diet Coke,dominos_pizza,1.79
Diet Coke,dominos_pizza,2.99
Sprite,dominos_pizza,1.79
Sprite,dominos_pizza,2.99
Pibb Xtra,dominos_pizza,1.79
Dasani Water,dominos_pizza,1.79
Orange,dominos_pizza,1.79
Orange,dominos_pizza,2.99
Domino’s Marbled Cookie Brownie,dominos_pizza,6.49
Cinna Stix,dominos_pizza,4.99
Chocolate Lava Crunch Cake,dominos_pizza,4.99
Kicker Hot Sauce,dominos_pizza,0.59
Sweet Mango Habanero Sauce,dominos_pizza,0.59
BBQ Sauce,dominos_pizza,0.59
Ranch,dominos_pizza,0.59
Blue Cheese,dominos_pizza,0.59
Garlic Dipping Sauce,dominos_pizza,0.59
Icing Dipping Sauce,dominos_pizza,0.59
Marinara Dipping Sauce,dominos_pizza,0.59
Creamy Caesar Dressing,dominos_pizza,0.59
Golden Italian Dressing,dominos_pizza,0.59
Garden Ranch,dominos_pizza,0.59
Fat-Free Raspberry or Balsamic Vinaigrette,dominos_pizza,0.59
Red Pepper Seasoning Flakes,dominos_pizza,0.99
Grated Parmesan Cheese,dominos_pizza,0.99
2 Donuts ,dunkin_donuts,3.69
Fudge Croissant Donut,dunkin_donuts,2.49
Bagel with Cream Cheese,dunkin_donuts,3.79
"Sausage, Egg & Cheese on a Croisssant – with Hash Browns",dunkin_donuts,5.89
"Bacon, Egg & Cheese on a Bagel – with Hash Browns",dunkin_donuts,5.89
Veggie Egg White Flatbread ,dunkin_donuts,4.59
Big n’ Toasted – with Hash Browns,dunkin_donuts,6.29
"Wake-Up Wrap (Bacon, Ham, or Sausage)",dunkin_donuts,3.09
Turkey Sausage Flatbread with Hash Browns,dunkin_donuts,5.79
Snack N’ Go Chicken Wrap,dunkin_donuts,3.29
Snack N’ Go Steak Wrap,dunkin_donuts,3.29
Ham & Cheese Flatbread – with Hash Browns,dunkin_donuts,5.59
Deluxe Grilled Cheese (Ham or Bacon) – with Hash Browns,dunkin_donuts,5.79
"Turkey, Cheddar & Bacon Flatbread – with Hash Browns",dunkin_donuts,5.99
Chicken Salad or Tuna Salad Sandwich – with Hash Browns,dunkin_donuts,5.39
Chicken Bacon Sandwich – with Hash Browns,dunkin_donuts,5.99
Classic Egg & Cheese,dunkin_donuts,2.59
"Classic Egg & Cheese with (Ham, Bacon, or Sausage)",dunkin_donuts,3.59
Egg White Omelet (Veggie),dunkin_donuts,2.99
"Egg White Omelet with (Ham, Bacon, or Sausage)",dunkin_donuts,3.99
Egg & Cheese Wrap,dunkin_donuts,1.19
"Egg & Cheese Wrap with (Ham, Bacon, or Sausage)",dunkin_donuts,1.39
Angus Steak and Egg Wrap (Limited Time),dunkin_donuts,1.99
Angus Steak and Egg Sandwich (Limited Time),dunkin_donuts,3.99
Oatmeal with Medium Coffee,dunkin_donuts,3.89
Turkey Sausage Wrap,dunkin_donuts,1.39
Turkey Sausage Sandwich,dunkin_donuts,3.49
Turkey Sausage Flatbread with Hash Browns & Medium Hot Coffee,dunkin_donuts,5.79
Chicken Apple Sausage Breakfast Sandwich (Limited Time),dunkin_donuts,3.69
Donut,dunkin_donuts,0.99
Donuts,dunkin_donuts,5.79
Donuts,dunkin_donuts,9.99
Muffin,dunkin_donuts,1.69
Muffins,dunkin_donuts,5.99
Bagel,dunkin_donuts,0.99
Bagels,dunkin_donuts,5.79
Bagel with Cream Cheese,dunkin_donuts,2.09
Munchkins,dunkin_donuts,6.29
Munchkins,dunkin_donuts,9.99
Hash Brown,dunkin_donuts,1.29
Croissant,dunkin_donuts,1.49
Fancy,dunkin_donuts,1.29
Coffee Roll,dunkin_donuts,1.29
Coffee,dunkin_donuts,1.59
Coffee,dunkin_donuts,1.89
Coffee,dunkin_donuts,2.09
Coffee,dunkin_donuts,2.29
Iced Coffee,dunkin_donuts,1.99
Iced Coffee,dunkin_donuts,2.49
Iced Coffee,dunkin_donuts,2.79
Add a Turbo Shot of Espresso to Any Beverage,dunkin_donuts,0.59
Add Almond Milk,dunkin_donuts,0.50
Dunkaccino,dunkin_donuts,1.69
Dunkaccino,dunkin_donuts,2.09
Dunkaccino,dunkin_donuts,2.29
Dunkaccino,dunkin_donuts,2.49
Vanilla Chai,dunkin_donuts,2.15
Cappuccino,dunkin_donuts,2.69
Cappuccino,dunkin_donuts,3.19
Cappuccino,dunkin_donuts,3.69
Macchiatto,dunkin_donuts,2.89
Macchiatto,dunkin_donuts,3.39
Macchiatto,dunkin_donuts,3.89
Iced Macchiatto,dunkin_donuts,3.19
Iced Macchiatto,dunkin_donuts,3.79
Iced Macchiatto,dunkin_donuts,4.19
Box O’ Joe,dunkin_donuts,15.99
Hot Chocolate,dunkin_donuts,1.85
Hot Chocolate,dunkin_donuts,2.15
Hot Chocolate,dunkin_donuts,2.35
Hot Chocolate,dunkin_donuts,2.55
Hot Tea,dunkin_donuts,1.59
Hot Tea,dunkin_donuts,1.89
Hot Tea,dunkin_donuts,2.09
Hot Tea,dunkin_donuts,2.29
Latte,dunkin_donuts,2.69
Latte,dunkin_donuts,3.19
Latte,dunkin_donuts,3.69
Iced Latte,dunkin_donuts,2.99
Iced Latte,dunkin_donuts,3.59
Iced Latte,dunkin_donuts,3.99
Latte Lite,dunkin_donuts,2.69
Latte Lite,dunkin_donuts,3.19
Latte Lite,dunkin_donuts,3.69
Iced Latte Lite,dunkin_donuts,2.99
Iced Latte Lite,dunkin_donuts,3.59
Iced Latte Lite,dunkin_donuts,3.99
Iced Tea or Iced Green Tea (Sweetened or Unsweetened),dunkin_donuts,1.49
Iced Tea  or Iced Green Tea (Sweetened or Unsweetened),dunkin_donuts,1.99
Iced Tea  or Iced Green Tea (Sweetened or Unsweetened),dunkin_donuts,2.49
Coolatta or Coolatta Lite,dunkin_donuts,2.99
Coolatta or Coolatta Lite,dunkin_donuts,3.99
Coolatta or Coolatta Lite,dunkin_donuts,4.99
Frozen Coffee,dunkin_donuts,2.99
Frozen Coffee,dunkin_donuts,3.99
Frozen Coffee,dunkin_donuts,4.99
Frozen Dunkaccino,dunkin_donuts,2.99
Smotthie – Tropical Mango or Strawberry Banana (Limited Time),dunkin_donuts,3.19
"Packaged Coffee (Limited Time)
",dunkin_donuts,22.99
K-Cup Packs (Limited Time),dunkin_donuts,17.99
"Turkey, Cheddar & Bacon Sandwich",dunkin_donuts,3.69
Ham & Cheese Sandwich,dunkin_donuts,3.69
Chicken Salad ,dunkin_donuts,3.49
Tune Salad,dunkin_donuts,3.49
Texas Toast Grilled Cheese,dunkin_donuts,2.99
Chicken Biscuit,dunkin_donuts,2.99
Almond Milk,dunkin_donuts,
Whole Milk,dunkin_donuts,
Skim Milk,dunkin_donuts,
Oat Milk,dunkin_donuts,
Pink Velvet Swirl,dunkin_donuts,
Pink Velvet Swirl,dunkin_donuts,
Pink Velvet Swirl,dunkin_donuts,
Toasted Coconut Swirl,dunkin_donuts,
Toasted Coconut Swirl,dunkin_donuts,
Toasted Coconut Swirl,dunkin_donuts,
Caramel Swirl,dunkin_donuts,
Caramel Swirl,dunkin_donuts,
Caramel Swirl,dunkin_donuts,
French Vanilla Swirl,dunkin_donuts,
French Vanilla Swirl,dunkin_donuts,
French Vanilla Swirl,dunkin_donuts,
Hazelnut Swirl,dunkin_donuts,
Hazelnut Swirl,dunkin_donuts,
Hazelnut Swirl,dunkin_donuts,
Mocha Swirl,dunkin_donuts,
Mocha Swirl,dunkin_donuts,
Mocha Swirl,dunkin_donuts,
Pepe,jimmy_johns,5.50
Big John,jimmy_johns,5.50
Totally Tuna,jimmy_johns,5.50
Turkey Tom,jimmy_johns,5.50
Vito,jimmy_johns,5.50
Vegetarian,jimmy_johns,5.50
J.J.B.L.T ,jimmy_johns,5.50
Ham & Cheese,jimmy_johns,4.25
Roast Beef,jimmy_johns,4.25
Tuna Salad,jimmy_johns,4.25
Turkey Breast,jimmy_johns,4.25
"Salami, Capicola, Cheese",jimmy_johns,4.25
Double Provolone,jimmy_johns,4.25
Gourmet Smoked Ham Club,jimmy_johns,6.95
Billy Club,jimmy_johns,6.95
Italian Night Club,jimmy_johns,6.95
Hunter’s Club,jimmy_johns,6.95
Country Club,jimmy_johns,6.95
Beach Club,jimmy_johns,6.95
Gourmet Veggie Club,jimmy_johns,6.95
Bootlegger Club,jimmy_johns,6.95
Club Tuna,jimmy_johns,6.95
Club Lulu,jimmy_johns,6.95
Ultimate Porker,jimmy_johns,6.95
The J.J. Gargantuan,jimmy_johns,8.95
Soft Drink,jimmy_johns,1.49
Soft Drink,jimmy_johns,1.99
Dasani Water,jimmy_johns,1.49
Chocolate Chunk Cookie ,jimmy_johns,1.99
Raisin Oatmeal Cookie,jimmy_johns,1.99
Real Potato Chips,jimmy_johns,1.39
Jumbo Kosher Dill Pickle,jimmy_johns,1.39
5 Sandwiches Platter,jimmy_johns,28.50
10 Sandwiches Platter,jimmy_johns,56.00
Party Sub,jimmy_johns,40.00
Party Sub,jimmy_johns,75.00
Party Sub,jimmy_johns,110.00
Chocolate Chunk Cookie Tray,jimmy_johns,18.00
Raisin Oatmeal Cookie Tray,jimmy_johns,18.00
Six Of Each Cookie Tray,jimmy_johns,18.00
Jumbo Kosher Dill Pickle,jimmy_johns,5.00
2 Pc. Chicken – Combo,kfc,5.99
Popcorn Nuggets – Combo,kfc,5.49
2 Chicken Littles – Combo,kfc,5.29
Go Large Combo,kfc,1.50
"1 Pc. Basket (Chicken Breast, Coleslaw & Biscuit)",kfc,5.49
"2 Pc. Basket (Drumstick & Thigh, Coleslaw & Biscuit)",kfc,5.49
"8 Pc. Meal (8 Pc. Chicken, Large Mashed Potatoes & Gravy, Large Coleslaw & 4 Biscuits)",kfc,21.99
"3 Pc. Basket (3 Tenders,  Coleslaw & Biscuit)",kfc,5.49
24 Pc. Tailgate Meal (24 Tenders),kfc,29.99
Chicken Tenders,kfc,3.99
Chicken Tenders,kfc,6.99
Chicken Tenders,kfc,12.99
Chicken Tenders – Combo,kfc,5.99
Kentucky Fried Wings,kfc,5.00
Kentucky Fried Wings,kfc,9.99
Kentucky Fried Wings,kfc,18.99
Kentucky Fried Wings,kfc,36.99
Popcorn Nuggets,kfc,3.99
8 Pc. Chicken Only,kfc,14.99
12 Pc. Chicken Only,kfc,20.49
16 Pc. Chicken Only,kfc,24.99
"Tenders Meal (12 Pc. Tenders, 2 Large Sides, 4 Biscuits & 6 Sauces)",kfc,19.99
Chicken Sandwich,kfc,1.75
Mashed Potatoes,kfc,1.99
Mashed Potatoes,kfc,3.79
Secret Recipe Fries,kfc,2.49
Secret Recipe Fries,kfc,4.49
Baked Beans,kfc,1.99
Baked Beans,kfc,3.79
Cole Slaw,kfc,1.99
Cole Slaw,kfc,3.79
Sweet Kernel Corn,kfc,1.99
Sweet Kernel Corn,kfc,3.79
Green Beans,kfc,1.99
Green Beans,kfc,3.79
Mac & Cheese,kfc,1.99
Mac & Cheese,kfc,3.79
2 Biscuits,kfc,1.49
Soft Drink,kfc,1.69
Soft Drink,kfc,1.99
Aquafina Water,kfc,1.69
Iced Tea,kfc,2.49
Lemonade,kfc,1.99
Lemonade,kfc,3.49
Strawberry Lemonade,kfc,2.29
Strawberry Lemonade,kfc,3.99
"8 Pc. Chicken, 2 Large Mashed Potatoes, Large Gravy, Large Coleslaw & 4 Biscuits",kfc,20.00
"8 Pieces Extr Crispy Chicken  with 2 Large Mashed Potatoes, Large Gravy, Large Coleslaw & 4 Biscuits",kfc,
"12 Pieces of Extra Crispy Tenders with 2 Large Mashed Potatoes, Large Gravy, Large Coleslaw & 4 Biscuits",kfc,
3 Pc. Chicken Box,kfc,7.99
Crispy Colonel Combo with 2 Sides,kfc,7.99
5 pc. Tenders with 2 Sides,kfc,7.99
Cakes,kfc,3.99
Cookies,kfc,1.29
Cookies,kfc,4.49
KFC Famous Bowl,kfc,6.19
Pot Pie,kfc,6.19
$30 Fill Up,kfc,30
$20 Fill Up,kfc,20
Tenders and Fries Meal,kfc,5.49
$10 Popcorn Nuggets,kfc,10
Medium French Fries,mcdonalds,4.79
10 pc. Chicken McNuggets,mcdonalds,7.49
Double Cheeseburger,mcdonalds,4.39
McChicken,mcdonalds,4.89
10 pc. Chicken McNuggets Meal,mcdonalds,12.69
Cheeseburger,mcdonalds,3.69
2 Cheeseburger Meal,mcdonalds,11.19
6 pc. Chicken McNuggets,mcdonalds,4.79
Big Mac Meal,mcdonalds,12.19
Big Mac,mcdonalds,8.29
Medium French Fries,mcdonalds,4.79
Big Mac Meal,mcdonalds,12.19
10 pc. Chicken McNuggets Meal,mcdonalds,12.69
Double Quarter Pounder with Cheese Meal,mcdonalds,13.19
20 pc. Chicken McNuggets,mcdonalds,9.69
OREO McFlurry,mcdonalds,6.19
McCrispy Meal,mcdonalds,13.49
Medium Coke,mcdonalds,2.89
McCrispy,mcdonalds,8.39
40 pc. Chicken McNuggets,mcdonalds,16.99
2 Cheeseburger Meal,mcdonalds,11.19
Big Mac Meal,mcdonalds,12.19
Quarter Pounder with Cheese Meal,mcdonalds,12.49
Deluxe McCrispy Meal,mcdonalds,14.39
Double Quarter Pounder with Cheese Meal,mcdonalds,13.19
Filet-O-Fish Meal,mcdonalds,13.19
Quarter Pounder with Cheese Deluxe Meal,mcdonalds,13.79
Bacon Quarter Pounder with Cheese Meal,mcdonalds,13.89
Deluxe Spicy McCrispy Meal,mcdonalds,14.59
Triple Cheeseburger Meal,mcdonalds,9.29
Spicy McCrispy Meal,mcdonalds,13.69
Double Bacon Quarter Pounder with Cheese Meal,mcdonalds,13.99
Double Quarter Pounder with Cheese Deluxe Meal,mcdonalds,13.89
Double Filet-O-Fish Meal,mcdonalds,13.29
McCrispy Meal,mcdonalds,13.49
6 pc. Chicken McNuggets,mcdonalds,4.79
10 pc. Chicken McNuggets,mcdonalds,7.49
20 pc. Chicken McNuggets,mcdonalds,9.69
4 pc. Chicken McNuggets,mcdonalds,3.19
10 pc. Chicken McNuggets Meal,mcdonalds,12.69
6 pc. Chicken McNuggets Meal,mcdonalds,9.99
40 pc. Chicken McNuggets,mcdonalds,16.99
6 pc. Spicy Chicken McNuggets,mcdonalds,4.99
6 pc. Spicy Chicken McNuggets Meal,mcdonalds,9.49
10 pc. Spicy Chicken McNuggets,mcdonalds,7.59
10 pc. Spicy Chicken McNuggets Large,mcdonalds,13.79
20 pc. Spicy Chicken McNuggets,mcdonalds,9.69
40 pc. Spicy Chicken McNuggets,mcdonalds,16.99
Medium French Fries,mcdonalds,4.79
40 pc. Chicken McNuggets,mcdonalds,16.99
Classic Big Mac Pack with Apple Pie,mcdonalds,33.79
13 Cookie Tote,mcdonalds,7.29
Box of Coffee,mcdonalds,11.99
Box of Decaf Coffee,mcdonalds,11.99
20 pc. Spicy Chicken McNuggets & 2 Medium Fries,mcdonalds,17.79
6 pc. Chicken McNuggets Happy Meal,mcdonalds,7.89
4 pc. Chicken McNugget Happy Meal,mcdonalds,6.49
Hamburger Happy Meal,mcdonalds,5.99
Medium Caramel Frappé,mcdonalds,5.49
Medium Premium Roast Coffee,mcdonalds,2.39
Medium OREO Frappé,mcdonalds,5.99
Medium Mocha Frappé,mcdonalds,5.39
Medium Iced Coffee,mcdonalds,3.69
Medium Iced Caramel Mocha,mcdonalds,4.19
Medium Americano,mcdonalds,3.79
Medium Iced French Vanilla Coffee,mcdonalds,3.59
Medium Iced Caramel Coffee,mcdonalds,3.59
Medium Iced Sugar Free Vanilla Coffee,mcdonalds,3.59
Medium Iced Caramel Macchiato,mcdonalds,4.19
Medium Iced Sugar Free Vanilla Latte,mcdonalds,4.19
Medium Iced Caramel Latte,mcdonalds,4.19
Medium Cappuccino,mcdonalds,4.19
Medium Iced Mocha,mcdonalds,4.19
Medium Decaf Coffee,mcdonalds,2.39
Medium Iced Hazelnut Latte,mcdonalds,4.19
Medium Iced Latte,mcdonalds,4.19
Medium Hot Tea,mcdonalds,2.19
Medium Caramel Latte,mcdonalds,4.39
Medium Caramel Mocha,mcdonalds,4.19
Medium Iced French Vanilla Latte,mcdonalds,4.19
Medium French Vanilla Latte,mcdonalds,4.39
Medium Caramel Macchiato,mcdonalds,4.19
Medium Mocha,mcdonalds,4.19
Medium Hazelnut Cappuccino,mcdonalds,4.19
Medium Sugar Free Vanilla latte,mcdonalds,4.39
Medium Iced Hazelnut Coffee,mcdonalds,3.69
Medium Premium Hot Chocolate,mcdonalds,4.19
Medium Latte,mcdonalds,4.39
Medium Hazelnut Latte,mcdonalds,4.19
Medium Vanilla Cappuccino,mcdonalds,4.19
Medium Sugarfree Vanilla Cappuccino,mcdonalds,4.19
Medium Caramel Cappuccino,mcdonalds,4.19
Medium Pumpkin Latte,mcdonalds,4.39
Apple Pie,mcdonalds,2.49
3 Pack Of Cookies,mcdonalds,5.79
McCafé Cinnamon Roll,mcdonalds,3.59
Apple & Cookies & Creme Pie,mcdonalds,5.49
13 Cookie Tote,mcdonalds,7.29
Pumpkin & Creme Pie,mcdonalds,2.79
Apple & Pumpkin & Creme Pie,mcdonalds,3.59
Sweet N Sour Dipping Sauce,mcdonalds,0.40
Tangy BBQ Dipping Sauce,mcdonalds,0.40
Creamy Ranch Sauce,mcdonalds,0.30
Spicy Buffalo,mcdonalds,0.30
Honey Mustard,mcdonalds,0.30
Syrup,mcdonalds,0.25
Hot Mustard Dipping Sauce,mcdonalds,0.00
Mayonnaise Packet,mcdonalds,0.30
Butter,mcdonalds,0.15
Ranch Dressing,mcdonalds,0.00
Strawberry Preserve,mcdonalds,0.00
Hot Picante Salsa,mcdonalds,0.00
Creamer Packet,mcdonalds,0.00
Southwest Dressing,mcdonalds,0.00
Grape Jam,mcdonalds,0.00
Honey Packet,mcdonalds,0.00
Mild Picante Salsa,mcdonalds,0.00
Lite Mayo Packet,mcdonalds,0.30
Pepper Packet,mcdonalds,0.00
Sugar Packet,mcdonalds,0.00
Equal Packet,mcdonalds,0.00
Splenda Packet,mcdonalds,0.00
Apple Slices,mcdonalds,1.00
Jalapenos Sliced,mcdonalds,0.30
3 Half Strips Bacon,mcdonalds,1.99
Apple Pie,mcdonalds,2.49
OREO McFlurry,mcdonalds,6.19
Peanut Butter Crunch McFlurry,mcdonalds,4.89
Medium Strawberry Shake,mcdonalds,5.39
Hot Fudge Sundae,mcdonalds,4.89
Medium Vanilla Shake,mcdonalds,5.49
3 Pack Of Cookies,mcdonalds,5.79
Medium Chocolate Shake,mcdonalds,5.39
Plain Sundae,mcdonalds,3.99
Apple & Cookies & Creme Pie,mcdonalds,5.49
13 Cookie Tote,mcdonalds,7.29
Pumpkin & Creme Pie,mcdonalds,2.79
Apple & Pumpkin & Creme Pie,mcdonalds,3.59
Medium Diet Coke,mcdonalds,2.89
Medium Coke,mcdonalds,2.89
Medium Sprite,mcdonalds,2.89
Bottled Orange Juice,mcdonalds,3.59
Medium Strawberry Banana Smoothie,mcdonalds,4.89
Medium Dr Pepper,mcdonalds,2.89
DASANI Bottled Water,mcdonalds,2.29
Medium Hi-C Orange,mcdonalds,2.89
Medium Frozen Fanta Wild Cherry,mcdonalds,3.49
Medium Hawaiian Punch,mcdonalds,2.89
Medium Mango Pineapple Smoothie,mcdonalds,4.89
Medium Frozen Coca-Cola,mcdonalds,3.49
Medium Sweet Iced Tea,mcdonalds,2.49
Medium Frozen Fanta Blue Raspberry,mcdonalds,3.49
Medium Fanta Strawberry,mcdonalds,2.89
Milk,mcdonalds,2.39
Medium Fanta Orange,mcdonalds,2.89
Medium Hot Tea,mcdonalds,2.19
Medium Lemonade,mcdonalds,3.79
Honest Kids Organic Apple Juice Drink,mcdonalds,2.39
Medium Sweet Tea Lemonade,mcdonalds,3.79
Medium Unsweetened Iced Tea,mcdonalds,2.49
McChicken,mcdonalds,4.89
Cheeseburger,mcdonalds,3.69
Double Cheeseburger,mcdonalds,4.39
Big Mac,mcdonalds,8.29
McDouble,mcdonalds,3.89
Filet-O-Fish,mcdonalds,6.89
Quarter Pounder with Cheese,mcdonalds,7.99
Hamburger,mcdonalds,3.29
Triple Cheeseburger,mcdonalds,5.99
Bacon McDouble,mcdonalds,5.29
Double Quarter Pounder with Cheese,mcdonalds,9.79
Spicy McCrispy,mcdonalds,8.49
Deluxe Spicy McCrispy,mcdonalds,8.89
Deluxe McCrispy,mcdonalds,8.79
Double Filet-O-Fish,mcdonalds,9.29
Quarter Pounder with Cheese Deluxe,mcdonalds,8.79
Double Bacon Quarter Pounder with Cheese,mcdonalds,11.29
Double Hamburger,mcdonalds,3.69
Bacon Quarter Pounder with Cheese,mcdonalds,9.39
