,restaurant_x,item,price,ms_index,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,restaurant_y,item_name,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text
10,arbys,Double Beef 'n Cheddar Meal,11.39,384,Double Beef ‘n Cheddar,0,1,951582,Sandwiches,arbys,Double Beef ‘n Cheddar,"Double Beef ‘n Cheddar, Slow Roasted Beef",372,,g,,540,17.0,11,0,50,320,86,1,76,12,,,,,,,,,,,,
11,arbys,Crispy Buffalo Chicken Wrap Meal,11.49,403,Buffalo Chicken Wrap,0,1,951601,Sandwiches,arbys,Buffalo Chicken Wrap,Buffalo Chicken Wrap,9,,g,,10,0.0,0,0,0,85,3,0,2,0,,,,,,,,,,,,
12,arbys,Half Pound Roast Beef Meal,11.49,388,Half Pound Roast Beef,0,1,951586,Sandwiches,arbys,Half Pound Roast Beef,"Half Pound Roast Beef, Slow Roasted Beef",361,,g,,480,17.0,11,0,55,300,70,0,64,12,,,,,,,,,,,,
13,arbys,Chicken Bacon Swiss Sandwich Meal,11.69,391,Chicken Bacon Swiss,0,1,951589,Sandwiches,arbys,Chicken Bacon Swiss,"Chicken Bacon Swiss, Crispy Juicy Chicken",94,,g,,430,18.0,10,0,30,360,63,1,33,4,,,,,,,,,,,,
14,arbys,Crispy Chicken Club Wrap Meal,11.89,403,Buffalo Chicken Wrap,0,1,951601,Sandwiches,arbys,Buffalo Chicken Wrap,Buffalo Chicken Wrap,9,,g,,10,0.0,0,0,0,85,3,0,2,0,,,,,,,,,,,,
15,arbys,Corned Beef Reuben Meal,11.99,385,Half Pound Beef ‘n Cheddar,0,1,951583,Sandwiches,arbys,Half Pound Beef ‘n Cheddar,"Half Pound Beef ‘n Cheddar, Slow Roasted Beef",490,,g,,700,21.0,14,0,65,420,113,1,99,16,,,,,,,,,,,,
16,arbys,Chicken Tenders 5PC Meal,12.19,343,Chicken Tenders (3),1,0,10357,Entrees,arbys,Chicken Tenders (3),"Chicken Tenders (3), Crispy Juicy Chicken",440,,g,,240,0.0,0,0,0,20,64,0,60,0,,,,,,,,,,,,
17,arbys,Smokehouse Brisket Meal,12.29,350,Smokehouse Brisket,1,0,60088,Sandwiches,arbys,Smokehouse Brisket,"Smokehouse Brisket, Slow Roasted Beef",249,,g,,610,30.0,8,0,65,1400,58,4,7,28,,,,,,,,,,,,
18,arbys,Roast Turkey Ranch & Bacon Sandwich Meal,12.49,400,"Turkey, Ranch & Bacon Sandwich",0,1,951598,Sandwiches,arbys,"Turkey, Ranch & Bacon Sandwich","Turkey, Ranch & Bacon Sandwich, Market Fresh",139,,g,,390,19.0,2.5,0,0,460,49,0,0,5,,,,,,,,,,,,
19,arbys,Half Pound Beef 'n Cheddar Meal,12.49,385,Half Pound Beef ‘n Cheddar,0,1,951583,Sandwiches,arbys,Half Pound Beef ‘n Cheddar,"Half Pound Beef ‘n Cheddar, Slow Roasted Beef",490,,g,,700,21.0,14,0,65,420,113,1,99,16,,,,,,,,,,,,
20,arbys,Bacon Ranch Wagyu Steakhouse Burger Meal,12.69,400,"Turkey, Ranch & Bacon Sandwich",0,1,951598,Sandwiches,arbys,"Turkey, Ranch & Bacon Sandwich","Turkey, Ranch & Bacon Sandwich, Market Fresh",139,,g,,390,19.0,2.5,0,0,460,49,0,0,5,,,,,,,,,,,,
21,arbys,Bacon Ranch Wagyu Steakhouse Burger Meal,12.69,400,"Turkey, Ranch & Bacon Sandwich",0,1,951598,Sandwiches,arbys,"Turkey, Ranch & Bacon Sandwich","Turkey, Ranch & Bacon Sandwich, Market Fresh",139,,g,,390,19.0,2.5,0,0,460,49,0,0,5,,,,,,,,,,,,
22,arbys,Orange Cream Shake,3.59,442,"Fanta Orange, 18 oz",0,1,951640,Beverages,arbys,"Fanta Orange, 18 oz","Fanta Orange, 18 oz, Beverages",13,,fl oz,,180,0.0,0,0,0,55,47,0,47,0,,,,,,,,,,,,
23,arbys,Bacon Ranch Wagyu Steakhouse Burger,8.49,400,"Turkey, Ranch & Bacon Sandwich",0,1,951598,Sandwiches,arbys,"Turkey, Ranch & Bacon Sandwich","Turkey, Ranch & Bacon Sandwich, Market Fresh",139,,g,,390,19.0,2.5,0,0,460,49,0,0,5,,,,,,,,,,,,
24,arbys,Chicken Tenders 3PC,5.79,343,Chicken Tenders (3),1,0,10357,Entrees,arbys,Chicken Tenders (3),"Chicken Tenders (3), Crispy Juicy Chicken",440,,g,,240,0.0,0,0,0,20,64,0,60,0,,,,,,,,,,,,
25,arbys,Premium 9PC Chicken Nuggets,5.99,394,Premium Nuggets (9),0,1,951592,Entrees,arbys,Premium Nuggets (9),"Premium Nuggets (9), Crispy Juicy Chicken",128,,g,,390,13.0,6,0,0,200,65,2,40,4,,,,,,,,,,,,
26,arbys,Classic Crispy Chicken Sandwich,5.99,392,Classic Chicken,0,1,951590,Sandwiches,arbys,Classic Chicken,"Classic Chicken, Crispy Juicy Chicken",94,,g,,460,25.0,11,0,40,400,54,2,36,7,,,,,,,,,,,,
27,arbys,Buffalo Crispy Chicken Sandwich ,6.29,393,Buffalo Chicken,0,1,951591,Sandwiches,arbys,Buffalo Chicken,"Buffalo Chicken, Crispy Juicy Chicken",128,,g,,430,18.0,9,0,0,210,65,2,39,4,,,,,,,,,,,,
28,arbys,Chicken Bacon Swiss Sandwich,7.19,391,Chicken Bacon Swiss,0,1,951589,Sandwiches,arbys,Chicken Bacon Swiss,"Chicken Bacon Swiss, Crispy Juicy Chicken",94,,g,,430,18.0,10,0,30,360,63,1,33,4,,,,,,,,,,,,
29,arbys,Chicken Tenders 5PC,7.69,343,Chicken Tenders (3),1,0,10357,Entrees,arbys,Chicken Tenders (3),"Chicken Tenders (3), Crispy Juicy Chicken",440,,g,,240,0.0,0,0,0,20,64,0,60,0,,,,,,,,,,,,
30,arbys,Classic Roast Beef,4.59,386,Classic Roast Beef,0,1,951584,Sandwiches,arbys,Classic Roast Beef,"Classic Roast Beef, Slow Roasted Beef",687,,g,,970,29.0,19,0.5,90,590,158,2,138,22,,,,,,,,,,,,
31,arbys,Classic Beef 'n Cheddar,5.39,338,Classic Beef ‘n Cheddar,1,0,530,Sandwiches,arbys,Classic Beef ‘n Cheddar,"Classic Beef ‘n Cheddar, Slow Roasted Beef",221,,g,,470,19.0,8,0,70,1230,45,3,9,29,,,,,,,,,,,,
32,arbys,Double Roast Beef,6.29,387,Double Roast Beef,0,1,951585,Sandwiches,arbys,Double Roast Beef,"Double Roast Beef, Slow Roasted Beef",255,,g,,310,9.0,6,0,30,210,49,0,45,9,,,,,,,,,,,,
33,arbys,Classic French Dip & Swiss,6.29,351,Classic French Dip & Swiss/Au Jus,1,0,60098,Sandwiches,arbys,Classic French Dip & Swiss/Au Jus,"Classic French Dip & Swiss/Au Jus, Slow Roasted Beef",195,,g,,450,20.0,6,1,50,1280,45,2,9,23,,,,,,,,,,,,
34,arbys,Double Beef 'n Cheddar,6.89,384,Double Beef ‘n Cheddar,0,1,951582,Sandwiches,arbys,Double Beef ‘n Cheddar,"Double Beef ‘n Cheddar, Slow Roasted Beef",372,,g,,540,17.0,11,0,50,320,86,1,76,12,,,,,,,,,,,,
35,arbys,Half Pound Roast Beef,7.19,388,Half Pound Roast Beef,0,1,951586,Sandwiches,arbys,Half Pound Roast Beef,"Half Pound Roast Beef, Slow Roasted Beef",361,,g,,480,17.0,11,0,55,300,70,0,64,12,,,,,,,,,,,,
36,arbys,Smokehouse Brisket,7.79,350,Smokehouse Brisket,1,0,60088,Sandwiches,arbys,Smokehouse Brisket,"Smokehouse Brisket, Slow Roasted Beef",249,,g,,610,30.0,8,0,65,1400,58,4,7,28,,,,,,,,,,,,
37,arbys,Half Pound Beef 'n Cheddar,8.19,385,Half Pound Beef ‘n Cheddar,0,1,951583,Sandwiches,arbys,Half Pound Beef ‘n Cheddar,"Half Pound Beef ‘n Cheddar, Slow Roasted Beef",490,,g,,700,21.0,14,0,65,420,113,1,99,16,,,,,,,,,,,,
38,arbys,Buffalo Chicken Slider,1.99,354,Buffalo Chicken Slider,1,0,150130,Sandwiches,arbys,Buffalo Chicken Slider,"Buffalo Chicken Slider, Sliders, Kids Meals",154,,g,,360,14.0,5,0.5,50,970,37,2,5,23,,,,,,,,,,,,
39,arbys,Chicken Slider,1.99,365,Chicken Slider,1,0,943956,Sandwiches,arbys,Chicken Slider,"Chicken Slider, Sliders",129,,g,,370,18.0,3,0,60,1190,28,2,0,23,,,,,,,,,,,,
40,arbys,Jalapeño Roast Beef Slider,1.99,431,Jalapeño Roast Beef Slider,0,1,951629,Sandwiches,arbys,Jalapeño Roast Beef Slider,"Jalapeño Roast Beef Slider, Sliders",18,,fl oz,,250,0.0,0,0,0,60,62,0,62,0,,,,,,,,,,,,
41,arbys,Roast Beef Slider,1.99,366,Roast Beef Slider,1,0,943958,Sandwiches,arbys,Roast Beef Slider,"Roast Beef Slider, Sliders",215,,g,,610,30.0,4.5,0,100,1990,47,3,0,39,,,,,,,,,,,,
42,arbys,Curly Fries,2.59,356,Curly Fries – Kids,1,0,170222,Fried Potatoes,arbys,Curly Fries – Kids,"Curly Fries – Kids, Kids Meals",295,,g,,610,30.0,12,2,130,2040,38,2,5,48,,,,,,,,,,,,
43,arbys,Crinkle Fries,2.59,436,Crinkle Fries – Kids,0,1,951634,Fried Potatoes,arbys,Crinkle Fries – Kids,"Crinkle Fries – Kids, Kids Meals",13,,fl oz,,0,0.0,0,0,0,50,0,0,0,0,,,,,,,,,,,,
44,arbys,Premium 4PC Chicken Nuggets,2.99,394,Premium Nuggets (9),0,1,951592,Entrees,arbys,Premium Nuggets (9),"Premium Nuggets (9), Crispy Juicy Chicken",128,,g,,390,13.0,6,0,0,200,65,2,40,4,,,,,,,,,,,,
45,arbys,Premium 6PC Chicken Nuggets,3.99,394,Premium Nuggets (9),0,1,951592,Entrees,arbys,Premium Nuggets (9),"Premium Nuggets (9), Crispy Juicy Chicken",128,,g,,390,13.0,6,0,0,200,65,2,40,4,,,,,,,,,,,,
46,arbys,Mozzarella Sticks ,4.19,347,Mozzarella Sticks – (4),1,0,27254,Appetizers & Sides,arbys,Mozzarella Sticks – (4),"Mozzarella Sticks – (4), Sides & Snacks",213,,g,,150,0.0,0,0,0,10,38,0,36,0,,,,,,,,,,,,
47,arbys,REESE’S Peanut Butter Cup Cookie,2.29,415,Reese’s Peanut Butter Cup Cookie,0,1,951613,Desserts,arbys,Reese’s Peanut Butter Cup Cookie,"Reese’s Peanut Butter Cup Cookie, Desserts",92,,g,,270,11.0,2.5,0,25,700,30,1,1,13,,,,,,,,,,,,
48,arbys,Salted Caramel & Chocolate Cookie,2.29,353,Salted Caramel & Chocolate Cookie,1,0,150125,Desserts,arbys,Salted Caramel & Chocolate Cookie,"Salted Caramel & Chocolate Cookie, Desserts",358,,g,,740,39.0,14,2,130,2530,48,2,9,49,,,,,,,,,,,,
49,arbys,Apple Turnover,2.29,341,Apple Turnover,1,0,3674,Baked Goods,arbys,Apple Turnover,"Apple Turnover, Desserts",199,,g,,110,0.0,0,0,0,10,29,0,27,0,,,,,,,,,,,,
50,arbys,Cherry Turnover,2.29,342,Cherry Turnover,1,0,3675,Baked Goods,arbys,Cherry Turnover,"Cherry Turnover, Desserts",263,,g,,150,0.0,0,0,0,10,38,0,36,0,,,,,,,,,,,,
51,arbys,Orange Cream Shake,3.59,442,"Fanta Orange, 18 oz",0,1,951640,Beverages,arbys,"Fanta Orange, 18 oz","Fanta Orange, 18 oz, Beverages",13,,fl oz,,180,0.0,0,0,0,55,47,0,47,0,,,,,,,,,,,,
52,arbys,Coca-Cola,2.49,358,"Coca-Cola, 13oz",1,0,924878,Beverages,arbys,"Coca-Cola, 13oz","Coca-Cola, 13oz, Beverages",14,,g,,60,5.0,1,0,5,150,3,0,2,0,,,,,,,,,,,,
53,arbys,Diet Coke,2.49,370,"Diet Coke, 13oz",1,0,943965,Beverages,arbys,"Diet Coke, 13oz","Diet Coke, 13oz, Beverages",28,,g,,100,10.0,2,0,15,135,1,0,1,1,,,,,,,,,,,,
54,arbys,Coca-Cola Zero Sugar,2.49,364,"Coca-Cola Zero Sugar, 13oz",1,0,943948,Beverages,arbys,"Coca-Cola Zero Sugar, 13oz","Coca-Cola Zero Sugar, 13oz, Beverages",176,,g,,470,23.0,7,0,75,1360,28,2,2,38,,,,,,,,,,,,
55,arbys,Sprite,2.49,361,"Sprite, 13oz",1,0,924916,Beverages,arbys,"Sprite, 13oz","Sprite, 13oz, Beverages",268,,g,,610,30.0,9,0,80,1580,51,4,9,35,,,,,,,,,,,,
56,arbys,Dr Pepper,2.49,345,"Dr Pepper, 13oz",1,0,10413,Beverages,arbys,"Dr Pepper, 13oz","Dr Pepper, 13oz, Beverages",284,,g,,200,0.0,0,0,0,10,51,0,48,0,,,,,,,,,,,,
57,arbys,Diet Dr Pepper,2.49,452,"Diet Dr Pepper, 13oz",0,1,951650,Beverages,arbys,"Diet Dr Pepper, 13oz","Diet Dr Pepper, 13oz, Beverages",13,,fl oz,,160,0.0,0,0,0,50,42,0,42,0,,,,,,,,,,,,
58,arbys,Barq's Root Beer,2.49,363,"Barq’s Root Beer, 13oz",1,0,943947,Beverages,arbys,"Barq’s Root Beer, 13oz","Barq’s Root Beer, 13oz, Beverages",224,,g,,500,23.0,5,0,55,1960,48,4,7,24,,,,,,,,,,,,
59,arbys,Minute Maid Zero Sugar,2.49,364,"Coca-Cola Zero Sugar, 13oz",1,0,943948,Beverages,arbys,"Coca-Cola Zero Sugar, 13oz","Coca-Cola Zero Sugar, 13oz, Beverages",176,,g,,470,23.0,7,0,75,1360,28,2,2,38,,,,,,,,,,,,
60,arbys,Hi-C Flashin' Fruit Punch,2.49,360,"Hi-C Flashin’ Fruit Punch, 13oz",1,0,924904,Beverages,arbys,"Hi-C Flashin’ Fruit Punch, 13oz","Hi-C Flashin’ Fruit Punch, 13oz, Beverages",193,,g,,560,29.0,11,1,95,1140,42,3,3,36,,,,,,,,,,,,
61,arbys,Mello Yello,2.49,359,"Mello Yello, 13oz",1,0,924888,Beverages,arbys,"Mello Yello, 13oz","Mello Yello, 13oz, Beverages",324,,g,,530,21.0,10,1,85,2540,50,2,3,34,,,,,,,,,,,,
62,arbys,Fanta Orange,2.49,443,"Fanta Orange, 13oz",0,1,951641,Beverages,arbys,"Fanta Orange, 13oz","Fanta Orange, 13oz, Beverages",18,,fl oz,,10,0.0,0,0,0,65,3,0,0,0,,,,,,,,,,,,
63,arbys,Bottled Water,2.49,454,Nestle Pure Life Bottled Water,0,1,951652,Beverages,arbys,Nestle Pure Life Bottled Water,"Nestle Pure Life Bottled Water, Beverages",358,,g,,5,0.0,0,0,0,0+,1,0,0,0,,,,,,,,,,,,
64,arbys,Market Fresh Classic Lemonade,2.89,374,Market Fresh Classic Lemonade - Small,0,1,951572,Beverages,arbys,Market Fresh Classic Lemonade - Small,"Market Fresh Classic Lemonade - Small, Limited Time Offers",273,,g,,700,44.0,13,0,75,1370,55,4,6,23,,,,,,,,,,,,
65,arbys,Market Fresh Strawberry Lemonade,2.89,380,Market Fresh Strawberry Lemonade - Small,0,1,951578,Beverages,arbys,Market Fresh Strawberry Lemonade - Small,"Market Fresh Strawberry Lemonade - Small, Limited Time Offers",372,,g,,540,16.0,10,0,50,320,88,1,74,12,,,,,,,,,,,,
66,arbys,Market Fresh Peach Lemonade,2.89,377,Market Fresh Peach Lemonade - Small,0,1,951575,Beverages,arbys,Market Fresh Peach Lemonade - Small,"Market Fresh Peach Lemonade - Small, Limited Time Offers",307,,g,,660,34.0,9,0.5,85,1970,47,3,12,43,,,,,,,,,,,,
67,arbys,Premium 4PC Chicken Nuggets Kids Meal,5.29,394,Premium Nuggets (9),0,1,951592,Entrees,arbys,Premium Nuggets (9),"Premium Nuggets (9), Crispy Juicy Chicken",128,,g,,390,13.0,6,0,0,200,65,2,40,4,,,,,,,,,,,,
68,arbys,Honest Kids Organic Apple Juice Drink ,1.99,437,Honest Kids Apple Juice Drink,0,1,951635,Beverages,arbys,Honest Kids Apple Juice Drink,"Honest Kids Apple Juice Drink, Kids Meals, Beverages",18,,fl oz,,240,0.0,0,0,0,60,61,0,61,0,,,,,,,,,,,,
69,arbys,Shamrock Farms Low Fat Milk,1.99,346,Shamrock Farms Lowfat White Milk,1,0,10417,Beverages,arbys,Shamrock Farms Lowfat White Milk,"Shamrock Farms Lowfat White Milk, Kids Meals, Beverages",468,,g,,310,0.0,0,0,0,20,81,0,77,0,,,,,,,,,,,,
70,arbys,Shamrock Farms LowFat Chocolate Milk,1.99,344,Shamrock Farms Lowfat Chocolate Milk,1,0,10412,Beverages,arbys,Shamrock Farms Lowfat Chocolate Milk,"Shamrock Farms Lowfat Chocolate Milk, Kids Meals, Beverages",213,,g,,150,0.0,0,0,0,10,38,0,35,0,,,,,,,,,,,,
71,arbys,Tree Top Applesauce,1.99,352,Tree Top Applesauce,1,0,150106,Appetizers & Sides,arbys,Tree Top Applesauce,"Tree Top Applesauce, Kids Meals",301,,g,,630,32.0,11,1.5,100,2100,48,2,9,39,,,,,,,,,,,,
72,arbys,Chicken Slider Kids Meal,5.29,365,Chicken Slider,1,0,943956,Sandwiches,arbys,Chicken Slider,"Chicken Slider, Sliders",129,,g,,370,18.0,3,0,60,1190,28,2,0,23,,,,,,,,,,,,
73,arbys,Roast Beef Slider Kids Meal,5.29,366,Roast Beef Slider,1,0,943958,Sandwiches,arbys,Roast Beef Slider,"Roast Beef Slider, Sliders",215,,g,,610,30.0,4.5,0,100,1990,47,3,0,39,,,,,,,,,,,,
74,arbys,Premium 6PC Chicken Nuggets Kids Meal,6.29,394,Premium Nuggets (9),0,1,951592,Entrees,arbys,Premium Nuggets (9),"Premium Nuggets (9), Crispy Juicy Chicken",128,,g,,390,13.0,6,0,0,200,65,2,40,4,,,,,,,,,,,,
75,burger_king,Whopper,4.19,3272,Whopper,1,0,944749,Burgers,burger_king,Whopper,"Whopper, Flame Grilled Burgers",,,,,660,40.0,12,1,90,980,49,2,11,28,,,,,,,,,,,,
76,burger_king,Whopper – Meal,6.49,3260,Triple Whopper w/ Cheese,1,0,926485,Burgers,burger_king,Triple Whopper w/ Cheese,"Triple Whopper w/ Cheese, Flame Grilled Burgers",,,,,1300,89.0,36,1.5,300,1830,52,2,12,76,,,,,,,,,,,,
77,burger_king,Double Whopper,5.29,3281,Double Whopper,0,1,951987,Burgers,burger_king,Double Whopper,"Double Whopper, Flame Grilled Burgers",,,,,900,58.0,20,1,175,1050,49,2,11,48,,,,,,,,,,,,
78,burger_king,Double Whopper – Meal,7.59,3281,Double Whopper,0,1,951987,Burgers,burger_king,Double Whopper,"Double Whopper, Flame Grilled Burgers",,,,,900,58.0,20,1,175,1050,49,2,11,48,,,,,,,,,,,,
79,burger_king,Triple Whopper – Meal,,3260,Triple Whopper w/ Cheese,1,0,926485,Burgers,burger_king,Triple Whopper w/ Cheese,"Triple Whopper w/ Cheese, Flame Grilled Burgers",,,,,1300,89.0,36,1.5,300,1830,52,2,12,76,,,,,,,,,,,,
80,burger_king,Triple Whopper ,,3260,Triple Whopper w/ Cheese,1,0,926485,Burgers,burger_king,Triple Whopper w/ Cheese,"Triple Whopper w/ Cheese, Flame Grilled Burgers",,,,,1300,89.0,36,1.5,300,1830,52,2,12,76,,,,,,,,,,,,
81,burger_king,Whopper Jr.,2.19,3215,Whopper Jr.,1,0,11,Burgers,burger_king,Whopper Jr.,"Whopper Jr., Flame Grilled Burgers",,,,,310,18.0,5,0,40,390,27,1,7,13,,,,,,,,,,,,
82,burger_king,Whopper Jr. – Meal,5.29,3215,Whopper Jr.,1,0,11,Burgers,burger_king,Whopper Jr.,"Whopper Jr., Flame Grilled Burgers",,,,,310,18.0,5,0,40,390,27,1,7,13,,,,,,,,,,,,
83,burger_king,Impossible Whopper,7.29,3270,Impossible Whopper,1,0,926543,Burgers,burger_king,Impossible Whopper,"Impossible Whopper, Flame Grilled Burgers",,,g,,630,34.0,11,0,20,1080,58,4,12,25,,,,,,,,,,,,
84,burger_king,Crispy Chicken Sandwich,4.99,3218,Crispy Chicken Sandwich,1,0,284,Sandwiches,burger_king,Crispy Chicken Sandwich,"Crispy Chicken Sandwich, Chicken & Fish",,,,,670,41.0,7,0,60,1070,54,2,7,23,,,,,,,,,,,,
85,burger_king,Crispy Chicken Sandwich – Meal,7.49,3218,Crispy Chicken Sandwich,1,0,284,Sandwiches,burger_king,Crispy Chicken Sandwich,"Crispy Chicken Sandwich, Chicken & Fish",,,,,670,41.0,7,0,60,1070,54,2,7,23,,,,,,,,,,,,
86,burger_king,Spicy Crispy Chicken Sandwich – Meal,9.19,3259,Spicy Crispy Chicken Sandwich,1,0,180051,Sandwiches,burger_king,Spicy Crispy Chicken Sandwich,"Spicy Crispy Chicken Sandwich, Chicken & Fish",242,,g,,700,42.0,7,0,65,1140,57,3,8,25,,,,,,,,,,,,
87,burger_king,Spicy Crispy Chicken Sandwich,5.69,3259,Spicy Crispy Chicken Sandwich,1,0,180051,Sandwiches,burger_king,Spicy Crispy Chicken Sandwich,"Spicy Crispy Chicken Sandwich, Chicken & Fish",242,,g,,700,42.0,7,0,65,1140,57,3,8,25,,,,,,,,,,,,
88,burger_king,Big Fish Sandwich,3.99,3247,Big Fish Sandwich,1,0,60385,Sandwiches,burger_king,Big Fish Sandwich,"Big Fish Sandwich, Chicken & Fish",188,,g,,510,28.0,4.5,0,30,1180,51,2,7,16,,,,,,,,,,,,
89,burger_king,Big Fish Sandwich – Meal,6.39,3247,Big Fish Sandwich,1,0,60385,Sandwiches,burger_king,Big Fish Sandwich,"Big Fish Sandwich, Chicken & Fish",188,,g,,510,28.0,4.5,0,30,1180,51,2,7,16,,,,,,,,,,,,
90,burger_king,Chicken Nuggets – Meal,5.99,3287,"Chicken Nuggets, 8 Piece",0,1,951993,Entrees,burger_king,"Chicken Nuggets, 8 Piece","Chicken Nuggets, 8 Piece, Chicken & Fish",,,,,340,22.0,3.5,0,45,630,21,1,0,16,,,,,,,,,,,,
91,burger_king,Spicy Chicken Nuggets,1.69,3263,"Spicy Nuggets, 4 Piece",1,0,926490,Entrees,burger_king,"Spicy Nuggets, 4 Piece","Spicy Nuggets, 4 Piece, Chicken & Fish",,,,,210,15.0,3,0,20,570,11,2,0,8,,,,,,,,,,,,
92,burger_king,Chicken Fries,6.79,3249,"Chicken Fries, 9 Piece",1,0,118426,Entrees,burger_king,"Chicken Fries, 9 Piece","Chicken Fries, 9 Piece, Chicken & Fish",,,,,430,32.0,143,0,45,930,21,1,2,14,,,,,,,,,,,,
93,burger_king,Bacon Cheeseburger,1.49,3231,Bacon Cheeseburger,1,0,11442,Burgers,burger_king,Bacon Cheeseburger,"Bacon Cheeseburger, Flame Grilled Burgers",118,,g,,320,16.0,7,0,55,710,27,,7,17,,,,,,,,,,,,
94,burger_king,Bacon Double Cheeseburger,2.29,3232,Bacon Double Cheeseburger,1,0,11474,Burgers,burger_king,Bacon Double Cheeseburger,"Bacon Double Cheeseburger, Flame Grilled Burgers",155,,g,,400,22.0,11,0,85,670,27,,7,24,,,,,,,,,,,,
95,burger_king,Bacon Cheeseburger Deluxe,1.69,3231,Bacon Cheeseburger,1,0,11442,Burgers,burger_king,Bacon Cheeseburger,"Bacon Cheeseburger, Flame Grilled Burgers",118,,g,,320,16.0,7,0,55,710,27,,7,17,,,,,,,,,,,,
96,burger_king,Double Cheeseburger,1.69,3255,Double Cheeseburger,1,0,170894,Burgers,burger_king,Double Cheeseburger,"Double Cheeseburger, Flame Grilled Burgers",148,,g,,390,21.0,9,0,85,590,27,,7,23,,,,,,,,,,,,
97,burger_king,French Fries,1.39,3266,"Classic Fries, Medium",1,0,926500,Fried Potatoes,burger_king,"Classic Fries, Medium","Classic Fries, Medium, Sides",,,,,380,17.0,3,0,0,570,53,4,0,5,,,,,,,,,,,,
98,burger_king,Onion Rings,1.39,3227,"Onion Rings, Medium",1,0,2130,Appetizers & Sides,burger_king,"Onion Rings, Medium","Onion Rings, Medium, Sides",117,,g,,560,36.0,6,0,20,1320,56,0,5,4,,,,,,,,,,,,
99,burger_king,Hamburger,1.00,3213,Hamburger,1,0,7,Burgers,burger_king,Hamburger,"Hamburger, Flame Grilled Burgers",99,,g,,240,10.0,3.5,0,35,380,26,,6,13,,,,,,,,,,,,
