,restaurant,item,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text,bestseller
22,arbys,Orange Cream Shake,"Fanta Orange, 18 oz",0,1,951640,Beverages,"Fanta Orange, 18 oz, Beverages",13.0,,fl oz,,180,0.0,0.0,0.0,0.0,55,47.0,0.0,47.0,0.0,,,,,,,,,,,,,0
23,arbys,Bacon Ranch Wagyu Steakhouse Burger,"Turkey, Ranch & Bacon Sandwich",0,1,951598,Sandwiches,"Turkey, Ranch & Bacon Sandwich, Market Fresh",139.0,,g,,390,19.0,2.5,0.0,0.0,460,49.0,0.0,0.0,5.0,,,,,,,,,,,,,0
24,arbys,Chicken Tenders 3PC,Chicken Tenders (3),1,0,10357,Entrees,"Chicken Tenders (3), Crispy Juicy Chicken",440.0,,g,,240,0.0,0.0,0.0,0.0,20,64.0,0.0,60.0,0.0,,,,,,,,,,,,,0
25,arbys,Premium 9PC Chicken Nuggets,Premium Nuggets (9),0,1,951592,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",128.0,,g,,390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,,,,,,,,,,,,,0
26,arbys,Classic Crispy Chicken Sandwich,Classic Chicken,0,1,951590,Sandwiches,"Classic Chicken, Crispy Juicy Chicken",94.0,,g,,460,25.0,11.0,0.0,40.0,400,54.0,2.0,36.0,7.0,,,,,,,,,,,,,0
27,arbys,Buffalo Crispy Chicken Sandwich ,Buffalo Chicken,0,1,951591,Sandwiches,"Buffalo Chicken, Crispy Juicy Chicken",128.0,,g,,430,18.0,9.0,0.0,0.0,210,65.0,2.0,39.0,4.0,,,,,,,,,,,,,0
28,arbys,Chicken Bacon Swiss Sandwich,Chicken Bacon Swiss,0,1,951589,Sandwiches,"Chicken Bacon Swiss, Crispy Juicy Chicken",94.0,,g,,430,18.0,10.0,0.0,30.0,360,63.0,1.0,33.0,4.0,,,,,,,,,,,,,0
29,arbys,Chicken Tenders 5PC,Chicken Tenders (3),1,0,10357,Entrees,"Chicken Tenders (3), Crispy Juicy Chicken",440.0,,g,,240,0.0,0.0,0.0,0.0,20,64.0,0.0,60.0,0.0,,,,,,,,,,,,,0
30,arbys,Classic Roast Beef,Classic Roast Beef,0,1,951584,Sandwiches,"Classic Roast Beef, Slow Roasted Beef",687.0,,g,,970,29.0,19.0,0.5,90.0,590,158.0,2.0,138.0,22.0,,,,,,,,,,,,,0
31,arbys,Classic Beef 'n Cheddar,Classic Beef ‘n Cheddar,1,0,530,Sandwiches,"Classic Beef ‘n Cheddar, Slow Roasted Beef",221.0,,g,,470,19.0,8.0,0.0,70.0,1230,45.0,3.0,9.0,29.0,,,,,,,,,,,,,0
32,arbys,Double Roast Beef,Double Roast Beef,0,1,951585,Sandwiches,"Double Roast Beef, Slow Roasted Beef",255.0,,g,,310,9.0,6.0,0.0,30.0,210,49.0,0.0,45.0,9.0,,,,,,,,,,,,,0
